order_id,product_id,quantity
1,2217,2
2,684,2
3,2904,2
4,6444,2
5,2904,2
6,5239,2
7,1890,2
8,360,2
9,4253,2
10,3005,2
11,6841,2
12,6633,2
13,2329,2
14,3775,1
15,6301,1
16,6616,2
17,6977,2
18,5203,2
19,56,2
20,6894,2
21,6821,2
22,5290,1
22,5346,1
23,795,1
24,2626,2
25,1319,2
25,6740,2
26,6307,2
27,1346,2
28,6788,2
29,6855,2
30,3525,2
30,4522,2
31,4550,2
32,4621,2
33,4593,2
34,6306,2
35,6669,2
35,6690,2
36,6370,2
37,3587,2
38,3829,2
39,6658,2
40,3780,2
41,6617,2
42,2278,2
43,1633,2
44,2173,2
45,5136,2
46,353,2
47,1653,2
48,2753,2
49,2632,2
50,2208,2
51,6614,2
52,1821,2
53,3780,2
54,1927,2
55,5922,2
56,2731,2
56,2826,2
57,2620,2
58,6505,2
59,6718,2
60,3744,2
60,5393,2
61,2747,2
62,1914,2
63,4060,1
64,1852,2
65,603,2
65,638,2
66,3977,1
67,6938,2
68,5241,2
69,3122,2
70,3803,2
71,6736,2
71,7068,2
72,3539,2
73,6759,2
74,2752,2
75,4862,2
76,349,1
77,6610,2
77,7061,1
78,4555,2
79,4549,2
80,3048,2
81,5429,2
82,6844,2
83,2712,2
84,2182,2
85,7040,2
86,3678,2
87,3978,2
88,7066,2
89,3802,2
90,349,2
91,7046,1
92,2902,2
93,6921,2
94,6335,2
95,4056,1
96,3028,2
97,1776,2
98,2391,2
99,1731,2
100,1442,2
101,1640,2
102,4226,2
103,2752,2
104,7010,2
105,3192,2
106,621,2
107,1820,1
108,669,2
109,6955,2
109,6990,2
110,449,2
111,6867,2
112,3175,2
113,4734,2
114,2712,2
115,2050,2
116,6278,2
117,6307,2
118,6651,2
119,4591,2
120,367,2
121,6824,2
122,6395,1
123,5226,2
124,6282,1
125,6755,2
126,6948,2
127,4563,1
128,1756,1
129,1502,2
130,6938,2
131,2394,1
132,5145,2
133,4739,2
134,4548,2
135,4531,2
136,1790,1
137,3007,2
138,7149,2
139,3738,2
140,3193,2
141,5416,2
142,3731,1
143,4551,2
144,5648,2
145,6780,2
146,4550,1
147,2613,2
148,2884,2
149,1755,2
150,2496,2
150,3005,2
151,5412,2
152,6335,2
153,5951,2
154,389,2
155,3983,1
156,3127,2
156,5972,2
157,6624,2
158,683,2
159,6664,2
160,4812,2
161,2573,2
162,4555,2
163,4681,2
164,1392,1
165,4420,2
166,2747,2
166,2815,2
167,942,2
168,5035,2
169,5635,2
170,6937,2
171,4028,2
172,3017,2
173,2618,1
174,6231,2
175,2900,2
176,5249,2
177,3110,2
178,4551,1
179,6063,2
180,1756,2
181,4822,1
182,2056,2
183,6917,2
184,6664,2
185,2662,2
186,349,2
187,6503,2
188,6646,2
189,3140,2
190,1416,2
191,6402,2
192,2753,2
193,3123,2
193,6821,2
193,7167,2
194,2639,2
195,3292,2
196,7073,2
197,6303,2
198,6449,2
199,4261,2
200,1657,2
201,4620,2
202,3396,2
203,6785,2
204,4781,2
205,1350,2
206,6681,2
207,5731,2
208,6758,2
209,2391,1
210,812,2
211,4087,2
212,4323,1
213,2213,2
214,5156,2
215,4567,1
216,347,2
217,683,2
218,6437,2
219,5994,2
220,4630,2
221,2013,2
222,1033,2
223,2188,2
224,1619,2
225,6641,2
226,6464,2
227,1392,1
228,6775,2
229,3193,2
230,2207,1
231,5300,1
232,4555,2
233,3028,2
234,6820,2
235,4071,1
236,7052,2
237,1876,2
238,7012,2
239,7042,2
240,4531,2
241,2774,2
242,6306,2
243,800,2
244,6617,2
245,1348,2
246,3185,2
247,4987,2
248,2891,2
249,2663,2
250,2618,2
251,1388,2
252,5608,2
253,420,2
254,7048,2
255,1205,1
256,343,2
257,1769,2
258,5750,2
259,6446,2
260,3196,2
261,1771,2
262,4706,2
263,3292,1
264,5007,2
265,2715,2
266,1753,2
267,6790,2
268,3540,2
269,5955,2
270,4542,1
271,369,2
272,352,2
273,3919,2
274,3025,2
275,4249,2
276,5057,2
277,6581,2
278,808,2
279,3024,2
280,5481,1
281,3071,2
282,348,2
283,6956,2
284,2748,2
285,2620,2
286,3984,1
287,4698,2
288,791,2
289,3657,2
290,1543,2
291,4565,2
292,1785,2
293,4433,2
294,1826,2
295,773,2
296,7167,2
297,1538,2
298,3192,2
299,880,2
300,4565,2
301,5139,2
302,5122,2
303,6666,2
304,374,2
305,6917,1
306,498,2
306,625,2
307,2282,2
308,352,2
309,285,2
310,6042,2
311,1502,2
312,4813,2
312,4874,2
313,1596,2
313,3901,2
314,796,2
315,1783,2
316,5924,2
317,1762,2
318,6614,2
319,3778,2
320,6950,2
321,1949,2
322,4431,2
323,4100,1
324,368,2
325,6365,2
326,2748,2
327,2753,2
328,6775,2
329,4187,2
330,3986,1
331,3855,2
332,6684,2
333,2207,2
334,5149,2
335,3578,2
336,4709,2
337,2691,2
338,5730,2
339,6681,3
340,1225,2
341,4551,2
342,7187,1
343,6943,2
344,6450,2
345,6793,2
346,4553,2
347,4549,2
348,6785,2
349,805,2
350,4421,2
351,6115,2
352,6456,2
353,2999,2
354,6758,2
355,5042,2
356,6336,2
357,6566,2
358,4986,2
359,4550,2
360,802,2
361,4308,2
362,4535,2
363,6514,2
364,6282,2
365,2246,1
366,6162,2
367,878,2
368,1951,2
369,6990,2
370,6444,1
371,1768,1
372,1770,1
373,4550,1
374,3819,2
375,5228,2
376,5237,2
377,1790,2
378,1789,2
379,626,2
380,6542,2
381,3781,2
382,5740,2
383,775,2
384,4594,2
385,5047,2
386,3468,2
387,4584,2
388,7044,2
389,3953,2
390,6735,2
391,1043,2
392,2575,2
393,6703,2
394,6832,2
395,2753,2
